Round #,Score,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,,Copies,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,
206,227503,430,0,0,0,0,227073,0,0,,512,1,0,0,0,0,511,0,0,
207,227031,11,0,0,0,0,227020,0,0,,512,1,0,0,0,0,511,0,0,
208,229214,406,0,0,0,0,228808,0,0,,512,1,0,0,0,0,511,0,0,
209,230159,465,0,0,0,0,229694,0,0,,512,2,0,0,0,0,510,0,0,
210,229278,445,0,0,0,0,228833,0,0,,512,1,0,0,0,0,511,0,0,
211,229211,493,0,0,0,0,228718,0,0,,512,2,0,0,0,0,510,0,0,
212,227704,448,0,0,0,0,227256,0,0,,512,2,0,0,0,0,510,0,0,
213,229139,443,0,0,0,0,228696,0,0,,512,1,0,0,0,0,511,0,0,
214,227645,126,0,0,0,0,227519,0,0,,512,1,0,0,0,0,511,0,0,
215,227129,11,0,0,0,0,227118,0,0,,512,1,0,0,0,0,511,0,0,
216,229409,458,0,0,0,0,228951,0,0,,512,2,0,0,0,0,510,0,0,
217,227457,412,0,0,0,0,227045,0,0,,512,1,0,0,0,0,511,0,0,
218,229075,116,0,0,0,0,228959,0,0,,512,1,0,0,0,0,511,0,0,
219,227312,132,0,0,0,0,227180,0,0,,512,1,0,0,0,0,511,0,0,
220,228207,11,0,0,0,0,228196,0,0,,512,1,0,0,0,0,511,0,0,
221,227601,128,0,0,0,0,227473,0,0,,512,1,0,0,0,0,511,0,0,
222,228811,132,0,0,0,0,228679,0,0,,512,1,0,0,0,0,511,0,0,
223,229480,469,0,0,0,0,229011,0,0,,512,2,0,0,0,0,510,0,0,
224,228072,843,0,0,0,0,227229,0,0,,512,2,0,0,0,0,510,0,0,
225,229574,832,0,0,0,0,228742,0,0,,512,2,0,0,0,0,510,0,0,
226,227419,503,0,0,0,0,226916,0,0,,512,2,0,0,0,0,510,0,0,
227,228504,508,0,0,0,0,227996,0,0,,512,2,0,0,0,0,510,0,0,
228,227653,403,0,0,0,0,227250,0,0,,512,1,0,0,0,0,511,0,0,
229,227089,11,0,0,0,0,227078,0,0,,512,1,0,0,0,0,511,0,0,
230,228567,416,0,0,0,0,228151,0,0,,512,1,0,0,0,0,511,0,0,
231,228739,426,0,0,0,0,228313,0,0,,512,1,0,0,0,0,511,0,0,
232,228124,430,0,0,0,0,227694,0,0,,512,1,0,0,0,0,511,0,0,
233,230009,14,0,0,0,0,229995,0,0,,512,1,0,0,0,0,511,0,0,
234,229324,423,0,0,0,0,228901,0,0,,512,1,0,0,0,0,511,0,0,
235,227266,11,0,0,0,0,227255,0,0,,512,1,0,0,0,0,511,0,0,
236,229562,11,0,0,0,0,229551,0,0,,512,1,0,0,0,0,511,0,0,
237,227332,392,0,0,0,0,226940,0,0,,512,1,0,0,0,0,511,0,0,
238,229722,11,0,0,0,0,229711,0,0,,512,1,0,0,0,0,511,0,0,
239,228779,402,0,0,0,0,228377,0,0,,512,1,0,0,0,0,511,0,0,
240,229509,504,0,0,0,0,229005,0,0,,512,2,0,0,0,0,510,0,0,
241,228534,964,0,0,0,0,227570,0,0,,512,3,0,0,0,0,509,0,0,
242,226204,443,0,0,0,0,225761,0,0,,512,2,0,0,0,0,510,0,0,
243,229083,21,0,0,0,0,229062,0,0,,512,1,0,0,0,0,511,0,0,
244,230170,11,0,0,0,0,230159,0,0,,512,1,0,0,0,0,511,0,0,
245,227648,11,0,0,0,0,227637,0,0,,512,1,0,0,0,0,511,0,0,
246,228400,392,0,0,0,0,228008,0,0,,512,1,0,0,0,0,511,0,0,
247,228887,11,0,0,0,0,228876,0,0,,512,1,0,0,0,0,511,0,0,
248,226910,11,0,0,0,0,226899,0,0,,512,1,0,0,0,0,511,0,0,
249,228004,11,0,0,0,0,227993,0,0,,512,1,0,0,0,0,511,0,0,
250,227758,11,0,0,0,0,227747,0,0,,512,1,0,0,0,0,511,0,0,
251,228979,117,0,0,0,0,228862,0,0,,512,1,0,0,0,0,511,0,0,
252,227419,392,0,0,0,0,227027,0,0,,512,1,0,0,0,0,511,0,0,
253,229476,14,0,0,0,0,229462,0,0,,512,1,0,0,0,0,511,0,0,
254,228208,444,0,0,0,0,227764,0,0,,512,1,0,0,0,0,511,0,0,
255,229420,11,0,0,0,0,229409,0,0,,512,1,0,0,0,0,511,0,0,
256,227787,446,0,0,0,0,227341,0,0,,512,2,0,0,0,0,510,0,0,
